input,label
"`- This is not ``creative``.  Those are the dictionary definitions of the terms ``insurance`` and ``ensurance`` as properly applied to ``destruction``.  If you don't understand that, fine, legitimate criticism, I'll write up ``three man cell`` and ``bounty hunter`` and then it will be easy to understand why ``ensured`` and ``insured`` are different - and why both differ from ``assured``.  The sentence you quote is absolutely neutral.  You just aren't familiar with the underlying theory of strike-back (e.g. submarines as employed in nuclear warfare) guiding the insurance, nor likely the three man cell structure that kept the IRA from being broken by the British.  If that's my fault, fine, I can fix that to explain.  But ther'es nothing ``personal`` or ``creative`` about it.  I'm tired of arguing with you.  Re: the other article, ``multi-party`` turns up plenty, and there is more use of ``mutually`` than ``mutual``.  If I were to apply your standard I'd be moving ``Mutual Assured Destruction`` to ``talk`` for not appealing to a Reagan voter's biases about its effectiveness, and for dropping the ``ly``.  There is a double standard in your edits.  If it comes from some US history book, like ``peace movement`` or 'M.A.D.' as defined in 1950, you like it, even if the definition is totally useless in 2002 and only of historical interest.    If it makes any even-obvious connection or implication from the language chosen in multiple profession-specific terms, you consider it somehow non-neutral...  Gandhi thinks ``eye for an eye`` describes riots, death penalty, and war all at once, but you don't.  What do you know that Gandhi doesn't?  Guess what:  reality is not neutral.  Current use of terms is slightly more controversial.  Neutrality requires negotiation, and some willingness to learn.  This is your problem not mine.  You may dislike the writing, fine, that can be fixed.  But disregarding fundamental axioms of philosphy with names that recur in multiple phrases, or failing to make critical distinctions like 'insurance' versus 'assurance' versus 'ensurance' (which are made in one quote by an Air Force general in an in-context quote), is just a disservice to the reader.  If someone comes here to research a topic like MAD, they want some context, beyond history.  If this is a history book, fine, it's a history book.  But that wasn't what it was claimed to be... `",0
"`  :: the term ``standard model`` is itself less NPOV than I think we'd prefer...  :: if it's ``new-age speak`` then a lot of old-age people speak it - Karl Popper, the Pope, etc.  here's Karl Popper's view of this.  :: The clearest title for this article would be ``particle physics cosmology`` - but as I say that would require broader treatment of issues like the Anthropic Principle, cognitive bias beyond the particle physics zoo, etc.  :: as to accelerators, it's clear that while they are in use, someone is still looking for particles.  So this is not yet a settled ``cosmology`` so certain that we abandon the search... nor is it an arbitrary foundation ontology as you suggest, not subject to question.`",0
"  True or false, the situation as of March 2002 was such:  A Saudi proposal of Land for Peace AND recognition by ALL arab countries was made. The day the proposal was to be made formal by the Arab League was the day the Israeli's under the command of Ariel Sharon began the invasion of the Palestinian self-rule areas. user:Arab.",0
This page will need disambiguation. ,0
 -  Important note for all sysops: There is a bug in the administrative move feature that truncates the moved history and changes the edit times.  Please do not use this feature until this bug is fixed. More information can be found in the talk of  and . Thank you. ,0
I removed the following:  All names of early Polish rulers are ficticious and therefore this index naming Oda von Haldensleben and her husband Dagome records for the first time rulers of the Polanen tribe. Therefore it is indicated as being the first document of the later developing land named Poland.  This is quite a comment. All names are fictitious? It deserves at least some backing. ,0
"`Someone wrote: More recognizable, perhaps, is a type of what is generally called rock and roll called [folk rock]? or simply ``folk,`` which included performers such as [Joan Baez]?, Bob Dylan, Simon and Garfunkel, [The Mamas and the Papas]?, and many others.   I've tried to clarify this. ``Folk rock`` is used very specifically and is typically far more recognised by instrumentation than form. Many folk musicians of the 60s (Tom Paxton, Phil Ochs etc) sang new, topical material (which distinguished them from traditional folk musicians) but in the folk idiom (acoustic instruments, traditional arrangements and often traditional melodies.)  Re: the comment about ``marketers`` in the first paragraph. If language reflects common usage, what is now called ``folk music`` has as much right to the name as any other form. Gareth Owen  To the latter: fair enough, but does the first paragraph actually imply otherwise? LMS  I like the page in general but wonder if the following is unnecessarily cynical (implying, as it does, a financial rather than artistic incentive to change musical styles): :``Some of these performers, of which Joan Baez is an excellent example, began their commercial music careers performing traditional music in a traditional idiom, but soon transformed their style and accompaniment to suit popular tastes.``  Ya know, I agree, but I don't know how to change it right off. Anyone else want to give it a stab? LMS  The deletions are merely of things that seemed redundant. Additions may solve the problem of tone mentioned above. One bit of the original puzzles me, so I corrected the grammar but left it inbut what does ``unrecognizable to its source`` actually mean?  I like the new additionslots of good new information here. I added some more. The problem now is that the article is rambling and disorganized, and I am probably not the best person to organize and clarify it. BTW, using the word ``purist,`` without the quotes, makes it sound as if the authors of the article are not purists, which we don't want to imply. -) See neutral point of view. LMS  Perhaps someone who knows the facts -) could add in ``Skiffle`` music, from whence the Beatles sprang, which was evidently a British folk form in the 1950's.  Certainly the Beatles stole (er, utilised!) many folk forms in their music. `",0
"  :Correct. Full biographical details will put down his birth details, etc. It is just a marker to me at the moment to detail the WR aspect. He certainly wasn't Belarus; as a geo-political entity it had no real existence at the time. I have put a tbc marker on this article for now. ",0
`  Care should be taken to distinguish when and if definitions of ``express`` and ``special delivery`` stamps are written that while in many countries the definition is the same in the United States there is a definite difference between ``Express Mail`` and the (now defunct) ``Special Delivery.`` `,0
"`  :<>>  :I fail to see the distinction.  Who better than legal scholars to define what the law is?  Moreover, my comments in re how legal scholars define the law were a response to your dubious assertion that law qua law can be defined as a ``decision process.``  That assertion has no place in the main law article.  :<>  :I disagree.  The enactment of a statute falls under the topic of legislation.  :<>  :These issues are not law qua law; they are topics which should be discussed under the ambit of particular legal topics, such as ``statutory interpretation`` or ``contracts,`` or related topics, such as ``sociology`` and ``political science.``  :<>  :Law qua law is first and foremost a body of knowledge:  The academic field to which you refer is the study of that body of knowledge, and should be considered as part and parcel of the discussion found in the main law article; the profession of law is the application of that body of knowledge, which should be discussed in the ``practice of law`` article.`",0
"`  As a person who has done some of this activity, I say we use ``bioprospecting``. That is the word I've always used and heard. ``Bioprospection`` seems a bit pedantic to my ears. `",0
"It's great that we've found a new source of free information here, but these articles are obviously written for a turn-of-the-century Christian audienceand are, hence, of course, totally biased.  But Wikipedia articles are supposed to be written from the NeutralPointOfView.  I'm not sure what to do here, but if I were you, o anonymous uploader, I would stop uploading these articles and start editing the ones you've uploaded so that they are unbiased (or much less biased). LMS  ",0
"    :No, I really haven't heard of either one, at least not that I recall. I've heard of extreme positions, usually in a dismissive and ironic way, but don't really know their details. They really are on the fringe and not held by the majority of feminists. I've been involved with several feminist groups, usually working on local issues, but I am by no means a feminist scholar. I only have a general knowledge about feminism and especially how it is practice within NOW, of which I am a member. I don't follow the literature, for example.    I am truly committed to maintaining a npov, and I hope you are too. I'm not convinced of that, though. Please consider making an attempt to carefully state that the beliefs of certain subgroups of feminism are not necessarily beliefs feminists as a whole agree on. Readers will make their own judgement about which beliefs they buy and which they don't. It isn't up to us to steer them one way or another. And have a Happy Holiday! Dmerrill    ",0
"  I'd like the concepts of microevolution and macroevolution better related to the debate over evolution. Moreover, I think they are best used as terms that define the debate, rather than concepts in themselves to be disputed.    The theory of evolution, if it is indeed scientifically sound (and almost no one here doubts that), should be able to stand on its own merits without you all feeling you must defend it at every point.    The various articles which present alternatives to evolution, however outlandish or zany they seem to you scienntists, require merely a link or two each to the accepted science.      Ed Poor  ",0
"    I agree, the first one is simply wrong, and the other two are already covered. And I also agree that we have to start getting serious about the math. forumulation -) AxelBoldt",0
    : This sounds right. Historians speak of these people at these times as Jews practiving Judaism. The rabbinic/pharisaic Judaism that was canonized in the Mishna (about 200 CE) is a compilation of teachings from about 200 years before the time of Jesus to about 150 years after. RK,0
"    Ummm. The article uses imperial measurements, not SI ones. Some translation is apparently in order. -) Anders Törlind",0
"` Changed Macedonia link to Macedon; ancients didn't call their land Macedonia, and the entry we have on ``Macedonia`` isn't useful for Alexander. Should probably have an article on Macedon, and take the one sentence about Alexander out of Macedonia, maybe with a ``see also.``   I don't particularly have a problem with Macedon/Macedonia, but don't the naming conventions suggest that articles be named based on their most popular usage, rather than their most correct usage (if there's a difference)?  Perhaps using Macedonia to refer to recent history and Macedon for ancient history would work (with ``see also`` back and forth)?  Blain   My native language is Greek and I can assure you that Macedon and Macedonia is the same thing. Macedonia is the ``modern`` way to say Macedon. Maybe you should change back the link to Macedonia from Macedon. If the article about Macedonia is not informative enough you could always change it.   Just a note about the relationship between Aristotle and Alexander. Those two were two different personalities and they used to clash a lot but Alexander did something that makes me wanter if their relationship was as bad as people think today. While he was invading Asia he would send to his teacher all new and interesting animals that he would incounter in his expedition because he knew that old Aristotle was almost obsessed with the classification of things. The result was that Aristotle formed a kind of a zoo back in Macedonia from the gifts of his student. Now, if young Alexander was so sick of his teacher why did he bother?    Good point.  I think Alexander was complicated enough that trying to determine who he liked and who he didn't (and which was safer) isn't all that easy.  He was known to treat his enemies rather well and to kill his friends when they ticked him off.  I think he might have respected Aristotle and just not wanted to spend time around him anymore.  Just a thought  Blain   The most recent edits to this article are very strange. Why change Egypt to ``Pgypt``??  Why delete the paragraphs that were deleted? Can someone give me a reality check on this? `",0
